location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC4,55.4,2016-04-17 02:00:00,1.11607,2016-04-17T03:32:32.000+0000,51.48743685,-0.168397129,1460864011754 
KC3,69.7,2016-04-13 21:00:00,2.81366,2016-04-17T03:47:32.000+0000,51.49913951,-0.164337605,1460864911762 
KC5,57.4,2016-04-17 02:00:00,0.14464,2016-04-17T03:47:32.000+0000,51.49019756,-0.190863311,1460864911762 
KC5,58.9,2016-04-17 06:00:00,0.63791,2016-04-17T07:47:33.000+0000,51.49019756,-0.190863311,1460879311920 
KC4,42.3,2016-04-17 04:00:00,0,2016-04-17T05:17:32.000+0000,51.48743685,-0.168397129,1460870311850 
KC3,69.7,2016-04-13 21:00:00,4.13397,2016-04-16T22:17:33.000+0000,51.49913951,-0.164337605,1460845111585 
KC4,72.9,2016-04-16 21:00:00,2.79497,2016-04-16T22:17:33.000+0000,51.48743685,-0.168397129,1460845111585 
KC5,81.6,2016-04-16 14:00:00,3.97532,2016-04-16T15:47:30.000+0000,51.49019756,-0.190863311,1460821711374 
KC4,52.3,2016-04-16 13:00:00,5.72308,2016-04-16T14:32:29.000+0000,51.48743685,-0.168397129,1460817211325 
KC3,69.7,2016-04-13 21:00:00,7.09056,2016-04-16T14:32:29.000+0000,51.49913951,-0.164337605,1460817211325 
KC5,68.9,2016-04-16 13:00:00,5.037,2016-04-16T14:32:29.000+0000,51.49019756,-0.190863311,1460817211325 
KC3,69.7,2016-04-13 21:00:00,0.58603,2016-04-16T00:18:19.000+0000,51.49913951,-0.164337605,1460765910900 
KC3,69.7,2016-04-13 21:00:00,4.3783,2016-04-16T09:47:29.000+0000,51.49913951,-0.164337605,1460800111104 
KC4,57.7,2016-04-17 08:00:00,2.67387,2016-04-17T09:47:33.000+0000,51.48743685,-0.168397129,1460886511995 
KC3,69.7,2016-04-13 21:00:00,4.80001,2016-04-16T16:32:30.000+0000,51.49913951,-0.164337605,1460824411399 
KC3,69.7,2016-04-13 21:00:00,0.74561,2016-04-17T00:02:32.000+0000,51.49913951,-0.164337605,1460851411649 
KC5,85.9,2016-04-17 00:00:00,0,2016-04-17T01:32:31.000+0000,51.49019756,-0.190863311,1460856811709 
KC4,63.1,2016-04-15 22:00:00,3.31838,2016-04-15T23:33:19.000+0000,51.48743685,-0.168397129,1460763210885 
KC4,29.7,2016-04-16 01:00:00,1.20158,2016-04-16T02:48:21.000+0000,51.48743685,-0.168397129,1460774910971 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-16T02:33:21.000+0000,51.49913951,-0.164337605,1460774010958 
KC3,69.7,2016-04-13 21:00:00,1.79751,2016-04-15T22:33:19.000+0000,51.49913951,-0.164337605,1460759610866 
KC5,76.4,2016-04-17 09:00:00,5.84003,2016-04-17T10:32:33.000+0000,51.49019756,-0.190863311,1460889212024 
KC4,72.9,2016-04-16 21:00:00,1.65658,2016-04-16T22:47:32.000+0000,51.48743685,-0.168397129,1460846911592 
KC3,69.7,2016-04-13 21:00:00,2.68071,2016-04-17T08:32:33.000+0000,51.49913951,-0.164337605,1460882011930 
KC3,69.7,2016-04-13 21:00:00,3.74511,2016-04-16T07:17:24.000+0000,51.49913951,-0.164337605,1460791111065 
